mound_id,status,n,dist_m
18-L-7,ok,10,12.04
19-L-2,ok,10,0.0
19-M-1,ok,10,21.38
19-M-2,ok,10,48.41
21-M-1,ok,10,34.93
21-M-11,ok,3,13.93
21-M-4,ok,10,3.0
21-M-5,ok,10,16.28
21-N-1,ok,10,4.0
21-N-10,ok,10,3.61
21-N-5,ok,10,15.0
21-N-6,ok,10,26.17
21-N-7,ok,10,15.26
21-N-9,ok,10,15.3
22-M-1,ok,10,53.91
22-N-11_m1,ok,10,4.12
22-N-11_m2,ok,10,40.72
22-N-13_m1,ok,10,29.27
22-N-13_m2,ok,10,2.24
22-N-13_m3,ok,10,4.0
22-N-13_m5,ok,10,51.09
22-N-13_m6,ok,10,1.41
22-N-14,ok,10,21.93
22-N-16,ok,10,21.54
22-N-21_m1,ok,10,19.72
22-N-21_m2,ok,10,40.72
22-N-9_m1,ok,10,3.61
22-N-9_m2,ok,10,2.24
22-N-9_m3,ok,10,2.24
21-N-3,ok,10,3.16
22-N-20,ok,10,12.08
22-N-13_m4,ok,10,1.41
19-L-4,ok,6,4.12
18-M-3,ok,10,8.06
